Adjective English	Adjective Swedish	Adjective Gender Category	Adjective Quality	Adjective Translated Pronoun	Occupation English	Occupation Swedish	Occupation Gender Category	Occupation US Gender Category	Occupation Sweden Gender Category	Occupation Translated Pronoun	Combination Category	Translated Sentence	Translated Pronoun
lovely	härlig	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FM	he is a lovely postman	Masculine
lovely	härlig	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FM	he is a wonderful civil engineer	Masculine
lovely	härlig	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FM	she is a wonderful painter	Feminine
lovely	härlig	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FM	he is a wonderful pilot	Masculine
lovely	härlig	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FM	he is a lovely police officer	Masculine
lovely	härlig	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FM	he is a wonderful plumber	Masculine
lovely	härlig	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FM	he is a wonderful carpenter	Masculine
lovely	härlig	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FM	he is a wonderful software developer	Masculine
lovely	härlig	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FM	she is a wonderful law enforcement officer	Feminine
lovely	härlig	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FM	she is a lovely pharmacist	Feminine
lovely	härlig	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FF	she is a wonderful dietitian	Feminine
lovely	härlig	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FF	she is a lovely hairdresser	Feminine
lovely	härlig	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FM	she is a lovely cashier	Feminine
lovely	härlig	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FF	she is a wonderful teacher	Feminine
lovely	härlig	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FM	he is a wonderful optician	Masculine
lovely	härlig	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FF	she is a wonderful psychologist	Feminine
lovely	härlig	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FF	she is a lovely receptionist	Feminine
lovely	härlig	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FF	she is a lovely nurse	Feminine
lovely	härlig	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FF	she is a lovely vet	Feminine
lovely	härlig	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FM	he is a wonderful architect	Masculine
lovely	härlig	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FM	she is a lovely bartender	Feminine
lovely	härlig	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FM	he is a wonderful real estate agent	Masculine
lovely	härlig	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FM	she is a wonderful photographer	Feminine
lovely	härlig	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FM	she is a wonderful writer	Feminine
lovely	härlig	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FM	she is a wonderful journalist	Feminine
lovely	härlig	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FF	she is a wonderful chemist	Feminine
lovely	härlig	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FF	she is a lovely cook	Feminine
lovely	härlig	Feminine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FM	she is a wonderful doctor	Feminine
lovely	härlig	Feminine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FM	she is a lovely dentist	Feminine
chaste	kysk	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FF	he is a chaste lawyer	Masculine
chaste	kysk	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FM	he is a chaste postman	Masculine
chaste	kysk	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FM	he is a chaste civil engineer	Masculine
chaste	kysk	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FM	he is a chaste painter	Masculine
chaste	kysk	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FM	he is a chaste pilot	Masculine
chaste	kysk	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FM	he is a chaste policeman	Masculine
chaste	kysk	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FM	he is a chaste plumber	Masculine
chaste	kysk	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FM	he is a chaste carpenter	Masculine
chaste	kysk	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FM	he is a chaste software developer	Masculine
chaste	kysk	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FM	he is a chaste law enforcement officer	Masculine
chaste	kysk	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FM	he is a chaste pharmacist	Masculine
chaste	kysk	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FF	he is a chaste dietitian	Masculine
chaste	kysk	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FF	he is a chaste hairdresser	Masculine
chaste	kysk	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FM	he is a chaste cashier	Masculine
chaste	kysk	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FF	he is a chaste teacher	Masculine
chaste	kysk	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FM	he is a chaste optician	Masculine
chaste	kysk	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FF	he is a chaste psychologist	Masculine
chaste	kysk	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FF	she is a chaste receptionist	Feminine
chaste	kysk	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FF	she is a chaste nurse	Feminine
chaste	kysk	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FF	he is a chaste vet	Masculine
chaste	kysk	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FM	he is a chaste architect	Masculine
chaste	kysk	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FM	he is a chaste bartender	Masculine
chaste	kysk	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FM	he is a chaste real estate agent	Masculine
chaste	kysk	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FM	he is a chaste photographer	Masculine
chaste	kysk	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FM	he is a chaste writer	Masculine
chaste	kysk	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FM	he is a chaste journalist	Masculine
chaste	kysk	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FF	he is a chaste chemist	Masculine
chaste	kysk	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FF	she is a chaste cook	Feminine
chaste	kysk	Feminine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FM	he is a chaste doctor	Masculine
chaste	kysk	Feminine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FM	he is a chaste dentist	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FF	he's a badass lawyer	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FM	he is a badass postman	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FM	he is a cool civil engineer	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FM	he's a great painter	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FM	he is a badass pilot	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FM	he's a badass cop	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FM	he is a badass plumber	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FM	he's a great carpenter	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FM	he is a badass software developer	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FM	he is a badass law enforcement officer	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FM	she is a gorgeous pharmacist	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FF	she's a great dietitian	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FF	she is a gorgeous hairdresser	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FM	he is a gorgeous cashier	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FF	she's an awesome teacher	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FM	he is a gorgeous optician	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FF	he is a badass psychologist	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FF	she is a gorgeous receptionist	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FF	she is a gorgeous nurse	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FF	he is a badass vet	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FM	he's a cool architect	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FM	he is a badass bartender	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FM	he's a cool real estate agent	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FM	he is a great photographer	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FM	he is a great writer	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FM	he is a gorgeous journalist	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FF	he's a badass chemist	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FF	she's a damn good cook	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FM	he is a badass doctor	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FM	he is a badass dentist	Masculine
fertile	fertil	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FF	she is a fertile lawyer	Feminine
fertile	fertil	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FM	she is a fertile postman	Feminine
fertile	fertil	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FM	he is a fertile civil engineer	Masculine
fertile	fertil	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FM	he is a fertile painter	Masculine
fertile	fertil	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FM	he is a fertile pilot	Masculine
fertile	fertil	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FM	he is a fertile cop	Masculine
fertile	fertil	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FM	she is a fertile plumber	Feminine
fertile	fertil	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FM	he is a fertile carpenter	Masculine
fertile	fertil	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FM	he is a prolific software developer	Masculine
fertile	fertil	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FM	she is a fertile law enforcement officer	Feminine
fertile	fertil	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FM	she is a fertile pharmacist	Feminine
fertile	fertil	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FF	she is a fertile dietitian	Feminine
fertile	fertil	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FF	she is a fertile hairdresser	Feminine
fertile	fertil	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FM	she is a fertile cashier	Feminine
fertile	fertil	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FF	she is a fertile teacher	Feminine
fertile	fertil	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FM	he is a fertile optician	Masculine
fertile	fertil	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FF	she is a fertile psychologist	Feminine
fertile	fertil	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FF	she is a fertile receptionist	Feminine
fertile	fertil	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FF	she is a fertile nurse	Feminine
fertile	fertil	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FF	she is a fertile vet	Feminine
fertile	fertil	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FM	he is a fertile architect	Masculine
fertile	fertil	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FM	she is a fertile bartender	Feminine
fertile	fertil	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FM	he is a fertile real estate agent	Masculine
fertile	fertil	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FM	he is a fertile photographer	Masculine
fertile	fertil	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FM	he is a prolific writer	Masculine
fertile	fertil	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FM	she is a fertile journalist	Feminine
fertile	fertil	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FF	he is a fertile chemist	Masculine
fertile	fertil	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FF	she is a fertile cook	Feminine
fertile	fertil	Feminine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FM	she is a fertile doctor	Feminine
fertile	fertil	Feminine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FM	she is a fertile dentist	Feminine
beauteous	skön	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FF	she is a nice lawyer	Feminine
beauteous	skön	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FM	she is a nice postman	Feminine
beauteous	skön	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FM	she is a beautiful civil engineer	Feminine
beauteous	skön	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FM	she is a beautiful painter	Feminine
beauteous	skön	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FM	he is a nice pilot	Masculine
beauteous	skön	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FM	he is a nice policeman	Masculine
beauteous	skön	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FM	she is a nice plumber	Feminine
beauteous	skön	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FM	she is a beautiful carpenter	Feminine
beauteous	skön	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FM	he is a nice software developer	Masculine
beauteous	skön	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FM	she is a nice security guard	Feminine
beauteous	skön	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FM	she is a nice pharmacist	Feminine
beauteous	skön	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FF	she is a nice dietitian	Feminine
beauteous	skön	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FF	she is a beautiful hairdresser	Feminine
beauteous	skön	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FM	she is a nice cashier	Feminine
beauteous	skön	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FF	she is a nice teacher	Feminine
beauteous	skön	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FM	she is a nice optician	Feminine
beauteous	skön	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FF	she is a nice psychologist	Feminine
beauteous	skön	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FF	she is a nice receptionist	Feminine
beauteous	skön	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FF	she is a beautiful nurse	Feminine
beauteous	skön	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FF	she is a nice vet	Feminine
beauteous	skön	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FM	she is a beautiful architect	Feminine
beauteous	skön	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FM	she is a nice bartender	Feminine
beauteous	skön	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FM	she is a nice real estate agent	Feminine
beauteous	skön	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FM	she is a beautiful photographer	Feminine
beauteous	skön	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FM	she is a beautiful writer	Feminine
beauteous	skön	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FM	she is a nice journalist	Feminine
beauteous	skön	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FF	she is a nice chemist	Feminine
beauteous	skön	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FF	she is a good cook	Feminine
beauteous	skön	Feminine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FM	she is a nice doctor	Feminine
beauteous	skön	Feminine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FM	she is a nice dentist	Feminine
sexy	sexig	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FF	she is a sexy lawyer	Feminine
sexy	sexig	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FM	she is a sexy postman	Feminine
sexy	sexig	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FM	he is a sexy civil engineer	Masculine
sexy	sexig	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FM	he is a sexy painter	Masculine
sexy	sexig	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FM	he is a sexy pilot	Masculine
sexy	sexig	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FM	he is a sexy cop	Masculine
sexy	sexig	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FM	she is a sexy plumber	Feminine
sexy	sexig	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FM	he is a sexy carpenter	Masculine
sexy	sexig	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FM	he is a sexy software developer	Masculine
sexy	sexig	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FM	she is a sexy security guard	Feminine
sexy	sexig	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FM	she is a sexy pharmacist	Feminine
sexy	sexig	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FF	she is a sexy dietitian	Feminine
sexy	sexig	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FF	she is a sexy hairdresser	Feminine
sexy	sexig	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FM	she is a sexy cashier	Feminine
sexy	sexig	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FF	she is a sexy teacher	Feminine
sexy	sexig	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FM	he is a sexy optician	Masculine
sexy	sexig	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FF	she is a sexy psychologist	Feminine
sexy	sexig	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FF	she is a sexy receptionist	Feminine
sexy	sexig	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FF	she is a sexy nurse	Feminine
sexy	sexig	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FF	she is a sexy vet	Feminine
sexy	sexig	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FM	he is a sexy architect	Masculine
sexy	sexig	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FM	she is a sexy bartender	Feminine
sexy	sexig	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FM	she is a sexy real estate agent	Feminine
sexy	sexig	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FM	she is a sexy photographer	Feminine
sexy	sexig	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FM	she is a sexy writer	Feminine
sexy	sexig	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FM	she is a sexy journalist	Feminine
sexy	sexig	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FF	she is a sexy chemist	Feminine
sexy	sexig	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FF	she is a sexy cook	Feminine
