First Adjective English	First Adjective Swedish	First Adjective Gender Category	First Adjective Quality	First Adjective Translated Pronoun	Second Adjective English	Second Adjective Swedish	Second Adjective Gender Category	Second Adjective Quality	Second Adjective Translated Pronoun	Combination Category	Both Adjectives Translated Sentence	Both Adjectives Translated Pronoun
beautiful	vacker	Feminine	Positive	Feminine	undernourished	undernärd	Feminine	Negative	Feminine	FF	she is beautiful and malnourished	Feminine
beautiful	vacker	Feminine	Positive	Feminine	underweight	underviktig	Feminine	Negative	Feminine	FF	she is beautiful and underweight	Feminine
beautiful	vacker	Feminine	Positive	Feminine	uncomplaining	tålig	Feminine	Negative	Feminine	FF	she is beautiful and resilient	Feminine
beautiful	vacker	Feminine	Positive	Feminine	nagging	tjatig	Feminine	Negative	Feminine	FF	she is beautiful and annoying	Feminine
beautiful	vacker	Feminine	Positive	Feminine	just	rättvis	Masculine	Positive	Masculine	FM	she is beautiful and fair	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	FF	she is beautiful and healthy	Feminine
beautiful	vacker	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	FM	she is beautiful and righteous	Feminine
beautiful	vacker	Feminine	Positive	Feminine	rational	rationell	Masculine	Positive	Masculine	FM	she is beautiful and rational	Feminine
beautiful	vacker	Feminine	Positive	Feminine	peaceable	fredlig	Masculine	Positive	Masculine	FM	she is beautiful and peaceful	Feminine
beautiful	vacker	Feminine	Positive	Feminine	prodigious	storslagen	Masculine	Positive	Masculine	FM	she is beautiful and magnificent	Feminine
beautiful	vacker	Feminine	Positive	Feminine	brave	modig	Masculine	Positive	Feminine	FF	she is beautiful and brave	Feminine
beautiful	vacker	Feminine	Positive	Feminine	paramount	betydelsefull	Masculine	Positive	Masculine	FM	she is beautiful and important	Feminine
beautiful	vacker	Feminine	Positive	Feminine	reliable	pålitlig	Masculine	Positive	Masculine	FM	she is beautiful and reliable	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sinless	syndfri	Masculine	Positive	Feminine	FF	she is beautiful and sinless	Feminine
beautiful	vacker	Feminine	Positive	Feminine	honorable	hedervärd	Masculine	Positive	Feminine	FF	she is beautiful and honorable	Feminine
beautiful	vacker	Feminine	Positive	Feminine	unsuitable	olämplig	Masculine	Negative	Feminine	FF	she is beautiful and inappropriate	Feminine
beautiful	vacker	Feminine	Positive	Feminine	unreliable	opålitlig	Masculine	Negative	Feminine	FF	she is beautiful and unreliable	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lawless	laglös	Masculine	Negative	Masculine	FM	she is beautiful and lawless	Feminine
beautiful	vacker	Feminine	Positive	Feminine	inseparable	oskiljaktig	Masculine	Negative	Feminine	FF	she is beautiful and inseparable	Feminine
beautiful	vacker	Feminine	Positive	Feminine	brutish	hänsynslös	Masculine	Negative	Masculine	FM	she is beautiful and ruthless	Feminine
beautiful	vacker	Feminine	Positive	Feminine	idle	sysslolös	Masculine	Negative	Masculine	FM	she is beautiful and idle	Feminine
beautiful	vacker	Feminine	Positive	Feminine	unarmed	obeväpnad	Masculine	Negative	Masculine	FM	she is beautiful and unarmed	Feminine
beautiful	vacker	Feminine	Positive	Feminine	wounded	skadad	Masculine	Negative	Masculine	FM	she is beautiful and damaged	Feminine
beautiful	vacker	Feminine	Positive	Feminine	bigoted	hypokritisk	Masculine	Negative	Masculine	FM	she is beautiful and hypocritical	Feminine
beautiful	vacker	Feminine	Positive	Feminine	unjust	orättvis	Masculine	Negative	Masculine	FM	she is beautiful and unfair	Feminine
beautiful	vacker	Feminine	Positive	Feminine	brutal	brutal	Masculine	Negative	Feminine	FF	she is beautiful and brutal	Feminine
lovely	härlig	Feminine	Positive	Feminine	beautiful	vacker	Feminine	Positive	Feminine	FF	she is lovely and beautiful	Feminine
lovely	härlig	Feminine	Positive	Feminine	chaste	kysk	Feminine	Positive	Feminine	FF	she is beautiful and chaste	Feminine
lovely	härlig	Feminine	Positive	Feminine	gorgeous	skitsnygg	Feminine	Positive	Feminine	FF	she is lovely and gorgeous	Feminine
lovely	härlig	Feminine	Positive	Feminine	fertile	fertil	Feminine	Positive	Feminine	FF	she is beautiful and fertile	Feminine
lovely	härlig	Feminine	Positive	Feminine	beauteous	skön	Feminine	Positive	Feminine	FF	she is lovely and beautiful	Feminine
lovely	härlig	Feminine	Positive	Feminine	sexy	sexig	Feminine	Positive	Feminine	FF	she is beautiful and sexy	Feminine
lovely	härlig	Feminine	Positive	Feminine	classy	stilfull	Feminine	Positive	Feminine	FF	she is beautiful and stylish	Feminine
lovely	härlig	Feminine	Positive	Feminine	exquisite	utsökt	Feminine	Positive	Feminine	FF	she is lovely and exquisite	Feminine
lovely	härlig	Feminine	Positive	Feminine	vivacious	livlig	Feminine	Positive	Feminine	FF	she is lovely and lively	Feminine
lovely	härlig	Feminine	Positive	Feminine	vibrant	färgstark	Feminine	Positive	Feminine	FF	she is beautiful and colorful	Feminine
lovely	härlig	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	FF	she is beautiful and abused	Feminine
lovely	härlig	Feminine	Positive	Feminine	untreated	obehandlad	Feminine	Negative	Feminine	FF	she is beautiful and untreated	Feminine
lovely	härlig	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	FF	she is beautiful and barren	Feminine
lovely	härlig	Feminine	Positive	Feminine	shrewish	argsint	Feminine	Negative	Feminine	FF	she is beautiful and angry	Feminine
lovely	härlig	Feminine	Positive	Feminine	sheltered	skyddad	Feminine	Negative	Feminine	FF	she is beautiful and protected	Feminine
lovely	härlig	Feminine	Positive	Feminine	heartbroken	hjärtekrossad	Feminine	Negative	Feminine	FF	she is beautiful and heartbroken	Feminine
lovely	härlig	Feminine	Positive	Feminine	unmarried	ogift	Feminine	Negative	Feminine	FF	she is beautiful and unmarried	Feminine
lovely	härlig	Feminine	Positive	Feminine	undernourished	undernärd	Feminine	Negative	Feminine	FF	she is beautiful and malnourished	Feminine
lovely	härlig	Feminine	Positive	Feminine	underweight	underviktig	Feminine	Negative	Feminine	FF	she is beautiful and underweight	Feminine
lovely	härlig	Feminine	Positive	Feminine	uncomplaining	tålig	Feminine	Negative	Feminine	FF	she is lovely and patient	Feminine
lovely	härlig	Feminine	Positive	Feminine	nagging	tjatig	Feminine	Negative	Feminine	FF	she is lovely and annoying	Feminine
lovely	härlig	Feminine	Positive	Feminine	just	rättvis	Masculine	Positive	Masculine	FM	she is beautiful and fair	Feminine
lovely	härlig	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	FF	she is beautiful and healthy	Feminine
lovely	härlig	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	FM	she is glorious and righteous	Feminine
lovely	härlig	Feminine	Positive	Feminine	rational	rationell	Masculine	Positive	Masculine	FM	she is lovely and rational	Feminine
lovely	härlig	Feminine	Positive	Feminine	peaceable	fredlig	Masculine	Positive	Masculine	FM	she is beautiful and peaceful	Feminine
lovely	härlig	Feminine	Positive	Feminine	prodigious	storslagen	Masculine	Positive	Masculine	FM	she is beautiful and magnificent	Feminine
lovely	härlig	Feminine	Positive	Feminine	brave	modig	Masculine	Positive	Feminine	FF	she is beautiful and brave	Feminine
lovely	härlig	Feminine	Positive	Feminine	paramount	betydelsefull	Masculine	Positive	Masculine	FM	she is beautiful and significant	Feminine
lovely	härlig	Feminine	Positive	Feminine	reliable	pålitlig	Masculine	Positive	Masculine	FM	she is lovely and reliable	Feminine
lovely	härlig	Feminine	Positive	Feminine	sinless	syndfri	Masculine	Positive	Feminine	FF	she is glorious and sinless	Feminine
lovely	härlig	Feminine	Positive	Feminine	honorable	hedervärd	Masculine	Positive	Feminine	FF	she is glorious and honorable	Feminine
lovely	härlig	Feminine	Positive	Feminine	unsuitable	olämplig	Masculine	Negative	Feminine	FF	she is beautiful and inappropriate	Feminine
lovely	härlig	Feminine	Positive	Feminine	unreliable	opålitlig	Masculine	Negative	Feminine	FF	she is lovely and unreliable	Feminine
lovely	härlig	Feminine	Positive	Feminine	lawless	laglös	Masculine	Negative	Masculine	FM	she is beautiful and lawless	Feminine
lovely	härlig	Feminine	Positive	Feminine	inseparable	oskiljaktig	Masculine	Negative	Feminine	FF	she is beautiful and inseparable	Feminine
lovely	härlig	Feminine	Positive	Feminine	brutish	hänsynslös	Masculine	Negative	Masculine	FM	she is beautiful and ruthless	Feminine
lovely	härlig	Feminine	Positive	Feminine	idle	sysslolös	Masculine	Negative	Masculine	FM	she is lovely and idle	Feminine
lovely	härlig	Feminine	Positive	Feminine	unarmed	obeväpnad	Masculine	Negative	Masculine	FM	she is beautiful and unarmed	Feminine
lovely	härlig	Feminine	Positive	Feminine	wounded	skadad	Masculine	Negative	Masculine	FM	she is beautiful and damaged	Feminine
lovely	härlig	Feminine	Positive	Feminine	bigoted	hypokritisk	Masculine	Negative	Masculine	FM	she is lovely and hypocritical	Feminine
lovely	härlig	Feminine	Positive	Feminine	unjust	orättvis	Masculine	Negative	Masculine	FM	she is beautiful and unfair	Feminine
lovely	härlig	Feminine	Positive	Feminine	brutal	brutal	Masculine	Negative	Feminine	FF	she is beautiful and brutal	Feminine
chaste	kysk	Feminine	Positive	Feminine	beautiful	vacker	Feminine	Positive	Feminine	FF	she is chaste and beautiful	Feminine
chaste	kysk	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	FF	she is chaste and beautiful	Feminine
chaste	kysk	Feminine	Positive	Feminine	gorgeous	skitsnygg	Feminine	Positive	Feminine	FF	she is chaste and gorgeous	Feminine
chaste	kysk	Feminine	Positive	Feminine	fertile	fertil	Feminine	Positive	Feminine	FF	she is chaste and fertile	Feminine
chaste	kysk	Feminine	Positive	Feminine	beauteous	skön	Feminine	Positive	Feminine	FF	she is chaste and beautiful	Feminine
chaste	kysk	Feminine	Positive	Feminine	sexy	sexig	Feminine	Positive	Feminine	FF	she is chaste and sexy	Feminine
chaste	kysk	Feminine	Positive	Feminine	classy	stilfull	Feminine	Positive	Feminine	FF	she is chaste and stylish	Feminine
chaste	kysk	Feminine	Positive	Feminine	exquisite	utsökt	Feminine	Positive	Feminine	FF	she is chaste and exquisite	Feminine
chaste	kysk	Feminine	Positive	Feminine	vivacious	livlig	Feminine	Positive	Feminine	FF	she is chaste and lively	Feminine
chaste	kysk	Feminine	Positive	Feminine	vibrant	färgstark	Feminine	Positive	Feminine	FF	she is chaste and colorful	Feminine
chaste	kysk	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	FF	she is chaste and abused	Feminine
chaste	kysk	Feminine	Positive	Feminine	untreated	obehandlad	Feminine	Negative	Feminine	FF	she is chaste and untreated	Feminine
chaste	kysk	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	FF	he is chaste and barren	Masculine
chaste	kysk	Feminine	Positive	Feminine	shrewish	argsint	Feminine	Negative	Feminine	FF	he is chaste and angry	Masculine
chaste	kysk	Feminine	Positive	Feminine	sheltered	skyddad	Feminine	Negative	Feminine	FF	she is chaste and protected	Feminine
chaste	kysk	Feminine	Positive	Feminine	heartbroken	hjärtekrossad	Feminine	Negative	Feminine	FF	she is chaste and heartbroken	Feminine
chaste	kysk	Feminine	Positive	Feminine	unmarried	ogift	Feminine	Negative	Feminine	FF	she is chaste and unmarried	Feminine
chaste	kysk	Feminine	Positive	Feminine	undernourished	undernärd	Feminine	Negative	Feminine	FF	he is chaste and malnourished	Masculine
chaste	kysk	Feminine	Positive	Feminine	underweight	underviktig	Feminine	Negative	Feminine	FF	she is chaste and underweight	Feminine
chaste	kysk	Feminine	Positive	Feminine	uncomplaining	tålig	Feminine	Negative	Feminine	FF	she is chaste and patient	Feminine
chaste	kysk	Feminine	Positive	Feminine	nagging	tjatig	Feminine	Negative	Feminine	FF	she is chaste and nagging	Feminine
chaste	kysk	Feminine	Positive	Feminine	just	rättvis	Masculine	Positive	Masculine	FM	he is chaste and fair	Masculine
chaste	kysk	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	FF	she is chaste and healthy	Feminine
chaste	kysk	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	FM	she is chaste and righteous	Feminine
chaste	kysk	Feminine	Positive	Feminine	rational	rationell	Masculine	Positive	Masculine	FM	he is chaste and rational	Masculine
chaste	kysk	Feminine	Positive	Feminine	peaceable	fredlig	Masculine	Positive	Masculine	FM	she is chaste and peaceful	Feminine
chaste	kysk	Feminine	Positive	Feminine	prodigious	storslagen	Masculine	Positive	Masculine	FM	he is chaste and magnificent	Masculine
chaste	kysk	Feminine	Positive	Feminine	brave	modig	Masculine	Positive	Feminine	FF	she is chaste and brave	Feminine
chaste	kysk	Feminine	Positive	Feminine	paramount	betydelsefull	Masculine	Positive	Masculine	FM	she is chaste and important	Feminine
chaste	kysk	Feminine	Positive	Feminine	reliable	pålitlig	Masculine	Positive	Masculine	FM	he is chaste and reliable	Masculine
chaste	kysk	Feminine	Positive	Feminine	sinless	syndfri	Masculine	Positive	Feminine	FF	she is chaste and sinless	Feminine
chaste	kysk	Feminine	Positive	Feminine	honorable	hedervärd	Masculine	Positive	Feminine	FF	she is chaste and honorable	Feminine
chaste	kysk	Feminine	Positive	Feminine	unsuitable	olämplig	Masculine	Negative	Feminine	FF	she is chaste and unfit	Feminine
chaste	kysk	Feminine	Positive	Feminine	unreliable	opålitlig	Masculine	Negative	Feminine	FF	she is chaste and untrustworthy	Feminine
chaste	kysk	Feminine	Positive	Feminine	lawless	laglös	Masculine	Negative	Masculine	FM	he is chaste and lawless	Masculine
chaste	kysk	Feminine	Positive	Feminine	inseparable	oskiljaktig	Masculine	Negative	Feminine	FF	she is chaste and inseparable	Feminine
chaste	kysk	Feminine	Positive	Feminine	brutish	hänsynslös	Masculine	Negative	Masculine	FM	he is chaste and ruthless	Masculine
chaste	kysk	Feminine	Positive	Feminine	idle	sysslolös	Masculine	Negative	Masculine	FM	she is chaste and idle	Feminine
chaste	kysk	Feminine	Positive	Feminine	unarmed	obeväpnad	Masculine	Negative	Masculine	FM	she is chaste and unarmed	Feminine
chaste	kysk	Feminine	Positive	Feminine	wounded	skadad	Masculine	Negative	Masculine	FM	she is chaste and damaged	Feminine
chaste	kysk	Feminine	Positive	Feminine	bigoted	hypokritisk	Masculine	Negative	Masculine	FM	he is chaste and hypocritical	Masculine
chaste	kysk	Feminine	Positive	Feminine	unjust	orättvis	Masculine	Negative	Masculine	FM	he is chaste and unjust	Masculine
chaste	kysk	Feminine	Positive	Feminine	brutal	brutal	Masculine	Negative	Feminine	FF	he is chaste and brutal	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	beautiful	vacker	Feminine	Positive	Feminine	FF	she is gorgeous and beautiful	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	FF	she is gorgeous and lovely	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	chaste	kysk	Feminine	Positive	Feminine	FF	she is gorgeous and chaste	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	fertile	fertil	Feminine	Positive	Feminine	FF	she is gorgeous and fertile	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	beauteous	skön	Feminine	Positive	Feminine	FF	she is gorgeous and beautiful	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	sexy	sexig	Feminine	Positive	Feminine	FF	she is gorgeous and sexy	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	classy	stilfull	Feminine	Positive	Feminine	FF	he is gorgeous and stylish	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	exquisite	utsökt	Feminine	Positive	Feminine	FF	she is gorgeous and exquisite	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	vivacious	livlig	Feminine	Positive	Feminine	FF	she is gorgeous and lively	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	vibrant	färgstark	Feminine	Positive	Feminine	FF	she is gorgeous and colorful	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	FF	he is gorgeous and abused	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	untreated	obehandlad	Feminine	Negative	Feminine	FF	he is gorgeous and untreated	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	FF	he is gorgeous and barren	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	shrewish	argsint	Feminine	Negative	Feminine	FF	she is gorgeous and angry	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	sheltered	skyddad	Feminine	Negative	Feminine	FF	she is gorgeous and protected	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	heartbroken	hjärtekrossad	Feminine	Negative	Feminine	FF	she is gorgeous and heartbroken	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	unmarried	ogift	Feminine	Negative	Feminine	FF	she is gorgeous and unmarried	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	undernourished	undernärd	Feminine	Negative	Feminine	FF	he is gorgeous and malnourished	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	underweight	underviktig	Feminine	Negative	Feminine	FF	he is gorgeous and underweight	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	uncomplaining	tålig	Feminine	Negative	Feminine	FF	she is gorgeous and resilient	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	nagging	tjatig	Feminine	Negative	Feminine	FF	she is gorgeous and annoying	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	just	rättvis	Masculine	Positive	Masculine	FM	he is gorgeous and fair	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	FF	he is gorgeous and healthy	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	FM	she is gorgeous and righteous	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	rational	rationell	Masculine	Positive	Masculine	FM	he is gorgeous and rational	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	peaceable	fredlig	Masculine	Positive	Masculine	FM	he is gorgeous and peaceful	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	prodigious	storslagen	Masculine	Positive	Masculine	FM	he is gorgeous and magnificent	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	brave	modig	Masculine	Positive	Feminine	FF	he is gorgeous and brave	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	paramount	betydelsefull	Masculine	Positive	Masculine	FM	he is gorgeous and important	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	reliable	pålitlig	Masculine	Positive	Masculine	FM	he is gorgeous and reliable	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	sinless	syndfri	Masculine	Positive	Feminine	FF	he is gorgeous and sinless	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	honorable	hedervärd	Masculine	Positive	Feminine	FF	she is gorgeous and respectable	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	unsuitable	olämplig	Masculine	Negative	Feminine	FF	she is gorgeous and inappropriate	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	unreliable	opålitlig	Masculine	Negative	Feminine	FF	she is gorgeous and unreliable	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	lawless	laglös	Masculine	Negative	Masculine	FM	he is gorgeous and lawless	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	inseparable	oskiljaktig	Masculine	Negative	Feminine	FF	he is gorgeous and inseparable	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	brutish	hänsynslös	Masculine	Negative	Masculine	FM	he is gorgeous and ruthless	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	idle	sysslolös	Masculine	Negative	Masculine	FM	she is gorgeous and idle	Feminine
gorgeous	skitsnygg	Feminine	Positive	Feminine	unarmed	obeväpnad	Masculine	Negative	Masculine	FM	he is gorgeous and unarmed	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	wounded	skadad	Masculine	Negative	Masculine	FM	he is gorgeous and damaged	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	bigoted	hypokritisk	Masculine	Negative	Masculine	FM	he is gorgeous and hypocritical	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	unjust	orättvis	Masculine	Negative	Masculine	FM	he is gorgeous and unfair	Masculine
gorgeous	skitsnygg	Feminine	Positive	Feminine	brutal	brutal	Masculine	Negative	Feminine	FF	he is gorgeous and brutal	Masculine
fertile	fertil	Feminine	Positive	Feminine	beautiful	vacker	Feminine	Positive	Feminine	FF	she is fertile and beautiful	Feminine
fertile	fertil	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	FF	she is fertile and beautiful	Feminine
fertile	fertil	Feminine	Positive	Feminine	chaste	kysk	Feminine	Positive	Feminine	FF	she is fertile and chaste	Feminine
fertile	fertil	Feminine	Positive	Feminine	gorgeous	skitsnygg	Feminine	Positive	Feminine	FF	she is fertile and gorgeous	Feminine
fertile	fertil	Feminine	Positive	Feminine	beauteous	skön	Feminine	Positive	Feminine	FF	she is fertile and beautiful	Feminine
fertile	fertil	Feminine	Positive	Feminine	sexy	sexig	Feminine	Positive	Feminine	FF	she is fertile and sexy	Feminine
fertile	fertil	Feminine	Positive	Feminine	classy	stilfull	Feminine	Positive	Feminine	FF	she is fertile and stylish	Feminine
fertile	fertil	Feminine	Positive	Feminine	exquisite	utsökt	Feminine	Positive	Feminine	FF	she is fertile and exquisite	Feminine
fertile	fertil	Feminine	Positive	Feminine	vivacious	livlig	Feminine	Positive	Feminine	FF	she is fertile and lively	Feminine
fertile	fertil	Feminine	Positive	Feminine	vibrant	färgstark	Feminine	Positive	Feminine	FF	she is fertile and colorful	Feminine
fertile	fertil	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	FF	she is fertile and abused	Feminine
fertile	fertil	Feminine	Positive	Feminine	untreated	obehandlad	Feminine	Negative	Feminine	FF	she is fertile and untreated	Feminine
fertile	fertil	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	FF	she is fertile and barren	Feminine
fertile	fertil	Feminine	Positive	Feminine	shrewish	argsint	Feminine	Negative	Feminine	FF	she is fertile and angry	Feminine
fertile	fertil	Feminine	Positive	Feminine	sheltered	skyddad	Feminine	Negative	Feminine	FF	she is fertile and protected	Feminine
fertile	fertil	Feminine	Positive	Feminine	heartbroken	hjärtekrossad	Feminine	Negative	Feminine	FF	she is fertile and heartbroken	Feminine
fertile	fertil	Feminine	Positive	Feminine	unmarried	ogift	Feminine	Negative	Feminine	FF	she is fertile and unmarried	Feminine
fertile	fertil	Feminine	Positive	Feminine	undernourished	undernärd	Feminine	Negative	Feminine	FF	she is fertile and malnourished	Feminine
fertile	fertil	Feminine	Positive	Feminine	underweight	underviktig	Feminine	Negative	Feminine	FF	she is fertile and underweight	Feminine
fertile	fertil	Feminine	Positive	Feminine	uncomplaining	tålig	Feminine	Negative	Feminine	FF	she is fertile and hardy	Feminine
fertile	fertil	Feminine	Positive	Feminine	nagging	tjatig	Feminine	Negative	Feminine	FF	she is fertile and nagging	Feminine
fertile	fertil	Feminine	Positive	Feminine	just	rättvis	Masculine	Positive	Masculine	FM	she is fertile and fair	Feminine
fertile	fertil	Feminine	Positive	Feminine	sound	sund	Masculine	Positive	Feminine	FF	she is fertile and healthy	Feminine
fertile	fertil	Feminine	Positive	Feminine	righteous	rättfärdig	Masculine	Positive	Masculine	FM	she is fertile and righteous	Feminine
fertile	fertil	Feminine	Positive	Feminine	rational	rationell	Masculine	Positive	Masculine	FM	she is fertile and rational	Feminine
fertile	fertil	Feminine	Positive	Feminine	peaceable	fredlig	Masculine	Positive	Masculine	FM	she is fertile and peaceful	Feminine
fertile	fertil	Feminine	Positive	Feminine	prodigious	storslagen	Masculine	Positive	Masculine	FM	she is fertile and magnificent	Feminine
fertile	fertil	Feminine	Positive	Feminine	brave	modig	Masculine	Positive	Feminine	FF	she is fertile and brave	Feminine
fertile	fertil	Feminine	Positive	Feminine	paramount	betydelsefull	Masculine	Positive	Masculine	FM	she is fertile and significant	Feminine
fertile	fertil	Feminine	Positive	Feminine	reliable	pålitlig	Masculine	Positive	Masculine	FM	she is fertile and reliable	Feminine
fertile	fertil	Feminine	Positive	Feminine	sinless	syndfri	Masculine	Positive	Feminine	FF	she is fertile and sinless	Feminine
fertile	fertil	Feminine	Positive	Feminine	honorable	hedervärd	Masculine	Positive	Feminine	FF	she is fertile and honorable	Feminine
fertile	fertil	Feminine	Positive	Feminine	unsuitable	olämplig	Masculine	Negative	Feminine	FF	she is fertile and unsuitable	Feminine
fertile	fertil	Feminine	Positive	Feminine	unreliable	opålitlig	Masculine	Negative	Feminine	FF	she is fertile and unreliable	Feminine
fertile	fertil	Feminine	Positive	Feminine	lawless	laglös	Masculine	Negative	Masculine	FM	she is fertile and lawless	Feminine
fertile	fertil	Feminine	Positive	Feminine	inseparable	oskiljaktig	Masculine	Negative	Feminine	FF	she is fertile and inseparable	Feminine
fertile	fertil	Feminine	Positive	Feminine	brutish	hänsynslös	Masculine	Negative	Masculine	FM	she is fertile and ruthless	Feminine
